Overall Rank	State	Code	Airport	Flights Per Year	Delays %	Canceled %	Avg. Delay (Mins)	Security Delay (Mins)
144	VI	STT	Cyril E King	3,396	17.1	0.6	12.8	0.12
145	MN	BJI	Bemidji Regional	680	10.2	0.9	11.9	0.84
146	FL	MIA	Miami International	80,840	19.2	1.3	14.1	0.10
147	OH	CVG	Cincinnati/Northern Kentucky International	44,470	18.1	1.7	14.8	0.05
148	NY	ALB	Albany International	11,625	16.3	2.2	13.8	0.05
149	CT	HVN	Tweed New Haven	998	12.3	5.2	11.0	0.00
150	AR	FSM	Fort Smith Regional	1,973	14.9	2.3	14.8	0.00
151	OH	CLE	Cleveland-Hopkins International	45,686	16.9	2.3	14.2	0.05
152	VA	RIC	Richmond International	22,785	16.6	1.9	14.0	0.10
153	NE	OMA	Eppley Airfield	23,789	16.1	2.0	12.8	0.28
154	ID	SUN	Friedman Memorial	1,431	11.0	12.1	12.6	0.00
155	NC	PGV	Pitt Greenville	78	10.7	3.8	8.6	0.00
